date,rank,track_name,artist,streams,album_name,track_uri,weeks_on_chart,peak_rank,previous_rank,album_cover_url
2024-11-07,17,Please Please Please,Sabrina Carpenter,22508756,Short n' Sweet,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,22,1,19,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626
2024-11-07,18,Moonlit Floor (Kiss Me),LISA,20965853,Moonlit Floor (Kiss Me),spotify:track:3yDRcs0Y4pPzkvMbUfeF9H,5,13,14,https://i.scdn.co/image/ab67616d0000b2735a039ed450d3e9a5caaf7818
2024-11-07,19,Sweater Weather,The Neighbourhood,20236117,I Love You.,spotify:track:0cQVqPuHQP4KEwc7ZUQmj6,219,16,26,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921
2024-11-07,20,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",20086016,CHROMAKOPIA,spotify:track:3tFed7YsjGnIfxeLEQwx3R,2,20,25,https://i.scdn.co/image/ab67616d0000b273124e9249fada4ff3c3a0739c
2024-11-07,21,The Night We Met,Lord Huron,19955558,Strange Trails,spotify:track:3hRV0jL3vUpRrcy398teAU,107,15,32,https://i.scdn.co/image/ab67616d0000b27317875a0610c23d8946454583
2024-11-07,22,Lose Control,Teddy Swims,19645897,I've Tried Everything But Therapy (Part 1),spotify:track:17phhZDn6oGtzMe56NuWvj,52,5,23,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace
2024-11-07,23,Night Changes,One Direction,19484779,FOUR (Deluxe),spotify:track:5O2P9iiztwhomNh8xkR9lJ,106,8,13,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4
2024-11-07,24,"I Love You, I'm Sorry",Gracie Abrams,19090379,The Secret of Us,spotify:track:51rfRCiUSvxXlCSCfIztBy,14,19,30,https://i.scdn.co/image/ab67616d0000b2736e2101520787791370f4a96b
2024-11-07,25,"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator, Teezo Touchdown",19074724,CHROMAKOPIA,spotify:track:0VaeksJaXy5R1nvcTMh3Xk,2,22,22,https://i.scdn.co/image/ab67616d0000b273124e9249fada4ff3c3a0739c
2024-11-07,26,I Wanna Be Yours,Arctic Monkeys,18941238,AM,spotify:track:5XeFesFbtLpXzIVDNQP22n,122,15,36,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
2024-11-07,27,Locked out of Heaven,Bruno Mars,18851393,Unorthodox Jukebox,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,126,27,101,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46
2024-11-07,28,EL LOKERON,Tito Double P,18720997,INCÓMODO,spotify:track:6X6m4xmdFcz31p1h7Qg68c,10,21,29,https://i.scdn.co/image/ab67616d0000b27347e9618ef7411438f9c9478b
2024-11-07,29,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",18584413,Flower Boy,spotify:track:7KA4W4McWYRpgf0fWsJZWB,89,16,28,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3
2024-11-07,30,Bed Chem,Sabrina Carpenter,18408498,Short n' Sweet,spotify:track:1UHS8Rf6h5Ar3CDWRd3wjF,11,9,24,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626
2024-11-07,31,Mantra,JENNIE,18275475,Ruby,spotify:track:2CspwnypzT7rcWI9RfsoSb,4,11,21,https://i.scdn.co/image/ab67616d0000b2735a43918ea90bf1e44b7bdcfd
2024-11-07,32,Yellow,Coldplay,17946301,Parachutes,spotify:track:3AJwUDP919kvQ9QcozQPxg,203,19,108,https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a
2024-11-07,33,DOS DÍAS,"Tito Double P, Peso Pluma",17655057,INCÓMODO,spotify:track:5lKFO0PrOC9jmOlPEdjHsL,10,33,42,https://i.scdn.co/image/ab67616d0000b27347e9618ef7411438f9c9478b
2024-11-07,34,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",17538634,The Idol Episode 4 (Music from the HBO Original Series),spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,57,3,38,https://i.scdn.co/image/ab67616d0000b273b0dd6a5cd1dec96c4119c262
2024-11-07,35,That's What I Like,Bruno Mars,17481667,24K Magic,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,117,6,158,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5
2024-11-07,36,Rah Tah Tah,"Tyler, The Creator",17394389,CHROMAKOPIA,spotify:track:5RePVWy39tLpHH0WwXgBsK,2,20,20,https://i.scdn.co/image/ab67616d0000b273124e9249fada4ff3c3a0739c
2024-11-07,37,A Bar Song (Tipsy),Shaboozey,17347503,A Bar Song (Tipsy),spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,30,6,35,https://i.scdn.co/image/ab67616d0000b27380d86d636244b72a3a1eede2
2024-11-07,38,Just the Way You Are,Bruno Mars,17073636,Doo-Wops & Hooligans,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,96,38,97,https://i.scdn.co/image/ab67616d0000b273f60070dce96a2c1b70cf6ff0
2024-11-07,39,Too Sweet,Hozier,16657289,Unheard,spotify:track:19XpFsce28aByvCC4g89tJ,33,2,40,https://i.scdn.co/image/ab67616d0000b273be392334d99f82bc410cb239
2024-11-07,40,The Emptiness Machine,Linkin Park,16611328,From Zero,spotify:track:2PnlsTsOTLE5jnBnNe2K0A,9,6,41,https://i.scdn.co/image/ab67616d0000b273b11a5489e8cb11dd22b930a0
2024-11-07,41,Barbie,"MC Tuto, DJ Glenner",16547228,Barbie,spotify:track:6s1kzj4EbhFLXbuAGJbhbn,2,39,39,https://i.scdn.co/image/ab67616d0000b273f412f43fad4c3ffab163287c
2024-11-07,42,Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",16476447,CHROMAKOPIA,spotify:track:6jbYpRPTEFl1HFKHk1IC0m,2,42,68,https://i.scdn.co/image/ab67616d0000b273124e9249fada4ff3c3a0739c
2024-11-07,43,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",16362291,UTOPIA,spotify:track:42VsgItocQwOQC3XWZ8JNA,60,5,37,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
2024-11-07,44,Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",16327493,PRIMERA MUSA,spotify:track:0Sr7ssScx54yxdM2ols7nW,6,13,34,https://i.scdn.co/image/ab67616d0000b273996764071dbd5240eefb2422
2024-11-07,45,Noid,"Tyler, The Creator",16001979,CHROMAKOPIA,spotify:track:1YdtGoSYDvVQKoUqSDXX41,3,9,9,https://i.scdn.co/image/ab67616d0000b273124e9249fada4ff3c3a0739c
2024-11-07,46,DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",15547493,LA PANTERA NEGRA (DELUXE),spotify:track:0qeIFEGRQqHoaJtLCl0U73,3,46,64,https://i.scdn.co/image/ab67616d0000b273211e6d4c3a41019e9309686d
